COUNTRY,CITY,ZONE,NW_AGO,ORDERS
CO,Bogota,Chapinero,8,264650.0
CO,Bogota,Usaquén,8,233674.0
PE,Lima,Miraflores,8,123252.0
CO,Medellin,Poblado_guayabal,8,123163.0
PE,Lima,San isidro,8,109987.0
CO,Medellin,Laureles_belén,8,107288.0
CO,Bogota,Colina,8,97927.0
AR,Buenos Aires,Microcentro,8,92744.0
MX,Ciudad De Mexico,Del Valle-Narvarte,8,85132.0
MX,Ciudad De Mexico,Roma-Polanco,8,77871.0
AR,Buenos Aires,CABALLITO,8,75165.0
AR,Buenos Aires,Palermo,8,70976.0
CO,Barranquilla,Riomar,8,69778.0
PE,Lima,San Borja,8,66519.0
MX,Guadalajara,La estancia,8,58289.0
AR,Buenos Aires,Belgrano,8,54418.0
CO,Cali,Cali Centro oeste,8,51786.0
MX,Ciudad De Mexico,Coyoacan-Pedregal,8,51532.0
CO,Medellin,Envigado,8,51356.0
CO,Bogota,Engativa,8,45886.0
MX,Guadalajara,Zapopan,8,44700.0
BR,Grande São Paulo,Jardins/Pinheiros,8,44640.0
BR,Grande São Paulo,SP - SP - Itaim Bibi,8,44119.0
CO,Bogota,Salitre,8,40557.0
CO,Barranquilla,Miramar y Alamedas,8,40329.0
PE,Lima,Monterrico,8,39263.0
AR,Buenos Aires,Urquiza - Saavedra,8,37053.0
CO,Bogota,Suba,8,36512.0
MX,Ciudad De Mexico,CDMX_coapa_iztapalapa,8,36279.0
CO,Cali,Ingenio Limonar,8,36219.0
PE,Lima,San Miguel,8,36060.0
CO,Medellin,Caribe_centro,8,32524.0
BR,Grande São Paulo,Barra_funda/Lapa,8,32319.0
CO,Medellin,Sabaneta,8,31589.0
CO,Bogota,Fontibon,8,30623.0
MX,Monterrey,San Pedro,8,30270.0
CL,Santiago De Chile,las_condes_vitacura,8,29627.0
CO,Barranquilla,Centro y nor occidente,8,29368.0
MX,Monterrey,Mitras Centro,8,28714.0
AR,Buenos Aires,DEVOTO,8,28192.0
CL,Santiago De Chile,Ñuñoa Providencia,8,27341.0
MX,Ciudad De Mexico,Satélite-Naucalpan,8,27321.0
CO,Bucaramanga,Centro y Cabecera,8,26894.0
CO,Bogota,Kennedy,8,25982.0
CO,Cali,Cali Norte,8,25821.0
CO,Bogota,Candelaria,8,24680.0
CO,Cali,Pance y ciudad jardin,8,24286.0
CO,Medellin,Itagui_y_la_estrella,8,24072.0
MX,Guadalajara,Valle Real,8,22963.0
MX,Monterrey,Contry,8,22599.0
AR,Buenos Aires,Chacabuco - La Boca,8,20888.0
PE,Lima,La Molina,8,20727.0
PE,Lima,Cono norte,8,20174.0
AR,Buenos Aires,Flores,8,19812.0
PE,Lima,Centro Lima,8,19225.0
MX,Puebla,Angelopolis,8,18229.0
CO,Bucaramanga,Floridablanca,8,18091.0
AR,Buenos Aires,Vicente Lopez - Olivos,8,17979.0
CO,Barranquilla,Prado,8,17922.0
MX,Ciudad De Mexico,Tlalnepantla,8,17894.0
MX,Ciudad De Mexico,CDMX_GAM,8,17851.0
MX,Merida,MID_MX NORTE,8,17775.0
CO,Cali,Lido Plametto,8,17675.0
MX,Ciudad De Mexico,Santafe,8,17653.0
MX,Puebla,Centro_calvario,8,17037.0
CO,Cartagena,Bocagrande,8,16895.0
CO,Bello,Bello,8,16873.0
BR,Grande São Paulo,SP - SP - Morumbi/Vila Andrade,8,16721.0
MX,Guadalajara,Oblatos,8,16688.0
AR,Cordoba,Cordoba Centro,8,16348.0
MX,Ciudad De Mexico,CDMX_Agricola_Benito_Juarez,8,15873.0
CO,Bogota,Antonio Nariño,8,15805.0
MX,Monterrey,Cumbres Poniente,8,15731.0
CO,Cartagena,La Castellana,8,15157.0
MX,Monterrey,San Nicolás,8,15027.0
CL,Santiago De Chile,Santiago_centro,8,15024.0
MX,Ciudad De Mexico,Centro-Histórico,8,14922.0
MX,Queretaro,QRO_CENTRO,8,14777.0
CO,Cartagena,Manga,8,14220.0
MX,Guadalajara,La tijera,8,13808.0
MX,Saltillo,SAL_Centro,8,13720.0
PE,Lima,Santa Anita,8,13578.0
CO,Chia,Chia,8,13562.0
PE,Lima,Comas,8,13518.0
AR,La Plata,Plaza italia,8,13419.0
CO,Cartagena,Marbella - Crespo,8,12795.0
CO,Cucuta,Cúcuta All,8,12770.0
MX,Merida,MID_FRANCISCO DE MONTEJO,8,12404.0
CO,Santa Marta,Centro,8,12177.0
PE,Lima,Chorrillos,8,11959.0
AR,Buenos Aires,San Isidro - Victoria,8,11859.0
CO,Barranquilla,Villa Campestre,8,11741.0
CO,Ibague,Guabinal,8,11696.0
PE,Lima,San Juan de Miraflores,8,11429.0
BR,Grande São Paulo,Se/Ipiranga,8,11422.0
MX,Ciudad De Mexico,Aragón-Ecatepec,8,11224.0
MX,Hermosillo,Hmo_Centro,8,10987.0
CO,Cali,Zona unico oriente,8,10869.0
BR,Grande São Paulo,SP - SP - Santo Amaro/Jabaquara,8,10808.0
MX,Monterrey,Santa Catarina,8,10280.0
AR,La Plata,Malvinas los hornos,8,10263.0
MX,Reynosa,Reynosa_centro,8,10157.0
MX,Merida,MID_CENTRO,8,10083.0
MX,Merida,MID_CAUCEL PONIENTE,8,10044.0
PE,Trujillo,Centro Trujillo,8,9929.0
MX,Monterrey,Centro,8,9818.0
MX,Guadalajara,Tlaquepaque,8,9810.0
AR,Buenos Aires,Lomas de Zamora - Banfield,8,9696.0
CO,Armenia,Centro,8,9627.0
MX,Monterrey,MTY_Guadalupe,8,9605.0
CO,Monteria,Centro,8,9548.0
CO,Chia,Cajicá,8,9359.0
MX,Ciudad De Mexico,Interlomas,8,9217.0
MX,Hermosillo,Hmo_Poniente,8,9185.0
MX,Nogales,Nogales,8,9057.0
PE,Arequipa,Cercado Arequipa,8,8994.0
MX,Queretaro,QRO_EL_PUEBLITO,8,8880.0
MX,Ciudad De Mexico,Bosques,8,8729.0
CO,Pereira,Pinares Sur,8,8688.0
MX,Monterrey,Escobedo,8,8664.0
CL,Santiago De Chile,lo_barnechea,8,8656.0
CO,Monteria,Norte,8,8548.0
MX,Cancun,Cun Centro,8,8483.0
EC,Quito,Carolina,8,8389.0
AR,Buenos Aires,Ramos,8,8321.0
MX,Veracruz,VER_Centro,8,7899.0
MX,Merida,MID_AMERICAS TEMOZON,8,7878.0
AR,Buenos Aires,Liniers - Lugano,8,7739.0
CO,Bucaramanga,Cacique y Sur,8,7654.0
CO,Armenia,Armenia Sur,8,7593.0
CO,Villavicencio,Villavo sur,8,7578.0
CO,Bucaramanga,Norte,8,7484.0
MX,Colima,Col_Col,8,7361.0
MX,Uruapan,Uruapan,8,7357.0
MX,Morelia,MOR Las Américas,8,7353.0
AR,Rosario,Rosario (Centro),8,7348.0
MX,Monterrey,La Fe,8,7343.0
MX,Torreon,Tor_sur,8,7341.0
CO,Pereira,Pinares_Dosquebradas,8,7341.0
MX,Puerto Vallarta,Pvr_puertovallarta,8,7125.0
CO,Manizales,centro,8,7073.0
MX,Playa Del Carmen,PDC_1,8,7011.0
CL,Santiago De Chile,La Florida San Joaquin,8,7005.0
AR,Buenos Aires,Lanus,8,6990.0
CL,Santiago De Chile,macul,8,6981.0
CO,Rionegro,Rio Negro,8,6948.0
MX,Merida,MID_KANANSIN,8,6939.0
CO,Villavicencio,Villavo Norte,8,6809.0
BR,Grande São Paulo,SP - SBC - Baeta/Santo André,8,6738.0
AR,Buenos Aires,Caseros - Bonich,8,6725.0
MX,Ciudad De Mexico,Coacalco,8,6677.0
MX,Culiacan,Barrancos_Primavera,8,6656.0
CO,Tunja,Tunja,8,6565.0
MX,San Luis Potosi,SLP_Centro,8,6564.0
BR,Rio De Janeiro,Botafogo,8,6516.0
MX,Culiacan,Centro,8,6461.0
BR,Recife,PE - REC - Zona Sul,8,6435.0
MX,Saltillo,SAL_Norte,8,6379.0
PE,Arequipa,Paucarpata,8,6377.0
MX,Puebla,San_sebastian,8,6333.0
MX,Oaxaca,Oax_Centro,8,6309.0
BR,Fortaleza,ce_for_aldeota/coco,8,6309.0
CO,Santa Marta,Troncal,8,6299.0
MX,Queretaro,QRO_CENTRO_SUR,8,6293.0
MX,Monterrey,MTY_Apodaca_Huinalá,8,6243.0
PE,Chiclayo,Centro Chiclayo,8,6175.0
MX,Veracruz,VER_Costa-Oro,8,6159.0
MX,Nuevo Laredo,Nlar_centro,8,6157.0
CO,Pereira,Cuba,8,6154.0
CO,Bogota,Bosa,8,6123.0
BR,Belo Horizonte,MG - BH -Centro Sul,8,6106.0
BR,Recife,PE - REC - Zona Norte,8,6042.0
MX,Monterrey,Apodaca Centro,8,5916.0
MX,Guadalajara,Tonalá,8,5866.0
AR,Mar Del Plata,MAR_DEL_PLATA_CENTRO,8,5865.0
MX,Tampico,Tam_aeropuerto,8,5782.0
CO,Manizales,Zona La Enea,8,5729.0
